"intersection1","intersection2","Address","Year","Month","Direction","Coordinates","Intersection ID","Filename"
"Berger Alley "," Fieser Street","6 Fieser St, Columbus, OH 43206, USA","2015","11","N","39.951208,-82.993213","79","Berger Alley & Fieser Street~6 Fieser St, Columbus, OH 43206, USA~2015-11~N~39.951208,-82.993213~id-79.jpg"
"Berger Alley "," Macon Alley","199 Berger Alley, Columbus, OH 43206, USA","2019","11","SE","39.951213,-82.992891","78","Berger Alley & Macon Alley~199 Berger Alley, Columbus, OH 43206, USA~2019-11~SE~39.951213,-82.992891~id-78.jpg"
"Berger Alley "," Macon Alley","199 Berger Alley, Columbus, OH 43206, USA","2019","11","SW","39.951213,-82.992891","78","Berger Alley & Macon Alley~199 Berger Alley, Columbus, OH 43206, USA~2019-11~SW~39.951213,-82.992891~id-78.jpg"
"Berger Alley "," Macon Alley","205 Jackson St, Columbus, OH 43206, USA","2019","11","NW","39.951213,-82.992891","78","Berger Alley & Macon Alley~205 Jackson St, Columbus, OH 43206, USA~2019-11~NW~39.951213,-82.992891~id-78.jpg"
"Berger Alley "," Macon Alley","561 S 5th St, Columbus, OH 43206, USA","2019","11","NE","39.951213,-82.992891","78","Berger Alley & Macon Alley~561 S 5th St, Columbus, OH 43206, USA~2019-11~NE~39.951213,-82.992891~id-78.jpg"
"Berger Alley "," Mohawk Street","163 Berger Alley, Columbus, OH 43206, USA","2015","08","SW","39.951233,-82.993547","75","Berger Alley & Mohawk Street~163 Berger Alley, Columbus, OH 43206, USA~2015-08~SW~39.951233,-82.993547~id-75.jpg"
"Berger Alley "," Mohawk Street","173 Berger Alley, Columbus, OH 43206, USA","2015","08","SE","39.951233,-82.993547","75","Berger Alley & Mohawk Street~173 Berger Alley, Columbus, OH 43206, USA~2015-08~SE~39.951233,-82.993547~id-75.jpg"
"Berger Alley "," Mohawk Street","553 Mohawk St, Columbus, OH 43206, USA","2015","08","NW","39.951233,-82.993547","75","Berger Alley & Mohawk Street~553 Mohawk St, Columbus, OH 43206, USA~2015-08~NW~39.951233,-82.993547~id-75.jpg"
"Berger Alley "," Mohawk Street","556 Mohawk St, Columbus, OH 43206, USA","2015","08","NE","39.951233,-82.993547","75","Berger Alley & Mohawk Street~556 Mohawk St, Columbus, OH 43206, USA~2015-08~NE~39.951233,-82.993547~id-75.jpg"
"Berger Alley "," Oscar Alley","161-163 Berger Alley, Columbus, OH 43206, USA","2019","09","SW","39.951241,-82.993885","81","Berger Alley & Oscar Alley~161-163 Berger Alley, Columbus, OH 43206, USA~2019-09~SW~39.951241,-82.993885~id-81.jpg"
"Berger Alley "," Oscar Alley","162 Berger Alley, Columbus, OH 43206, USA","2019","09","NW","39.951241,-82.993885","81","Berger Alley & Oscar Alley~162 Berger Alley, Columbus, OH 43206, USA~2019-09~NW~39.951241,-82.993885~id-81.jpg"
"Berger Alley "," Oscar Alley","553 Mohawk St, Columbus, OH 43206, USA","2019","09","NE","39.951241,-82.993885","81","Berger Alley & Oscar Alley~553 Mohawk St, Columbus, OH 43206, USA~2019-09~NE~39.951241,-82.993885~id-81.jpg"
"Berger Alley "," Oscar Alley","559-561 Mohawk St, Columbus, OH 43206, USA","2019","09","SE","39.951241,-82.993885","81","Berger Alley & Oscar Alley~559-561 Mohawk St, Columbus, OH 43206, USA~2019-09~SE~39.951241,-82.993885~id-81.jpg"
"Berger Alley "," Rader Alley","156 Berger Alley, Columbus, OH 43206, USA","2019","09","NE","39.951266,-82.994179","73","Berger Alley & Rader Alley~156 Berger Alley, Columbus, OH 43206, USA~2019-09~NE~39.951266,-82.994179~id-73.jpg"
"Berger Alley "," Rader Alley","159 Berger Alley, Columbus, OH 43206, USA","2019","09","SE","39.951266,-82.994179","73","Berger Alley & Rader Alley~159 Berger Alley, Columbus, OH 43206, USA~2019-09~SE~39.951266,-82.994179~id-73.jpg"
"Berger Alley "," Rader Alley","548 1_2 S 4th St, Columbus, OH 43206, USA","2019","09","NW","39.951266,-82.994179","73","Berger Alley & Rader Alley~548 1_2 S 4th St, Columbus, OH 43206, USA~2019-09~NW~39.951266,-82.994179~id-73.jpg"
"Berger Alley "," Rader Alley","556 S 4th St, Columbus, OH 43206, USA","2019","09","SW","39.951266,-82.994179","73","Berger Alley & Rader Alley~556 S 4th St, Columbus, OH 43206, USA~2019-09~SW~39.951266,-82.994179~id-73.jpg"
"Berger Alley "," South Fifth Street","561 S 5th St, Columbus, OH 43206, USA","2019","11","NE","39.951193,-82.992540","76","Berger Alley & South Fifth Street~561 S 5th St, Columbus, OH 43206, USA~2019-11~NE~39.951193,-82.992540~id-76.jpg"
"Berger Alley "," South Fifth Street","561 S 5th St, Columbus, OH 43206, USA","2019","11","NW","39.951193,-82.992540","76","Berger Alley & South Fifth Street~561 S 5th St, Columbus, OH 43206, USA~2019-11~NW~39.951193,-82.992540~id-76.jpg"
"Berger Alley "," South Fifth Street","567 S 5th St, Columbus, OH 43206, USA","2019","11","SW","39.951193,-82.992540","76","Berger Alley & South Fifth Street~567 S 5th St, Columbus, OH 43206, USA~2019-11~SW~39.951193,-82.992540~id-76.jpg"
"Berger Alley "," South Fifth Street","570 S 5th St, Columbus, OH 43206, USA","2019","11","SE","39.951193,-82.992540","76","Berger Alley & South Fifth Street~570 S 5th St, Columbus, OH 43206, USA~2019-11~SE~39.951193,-82.992540~id-76.jpg"
"Berger Alley "," South Fourth Street","548 S 4th St, Columbus, OH 43206, USA","2020","11","NE","39.951288,-82.994498","82","Berger Alley & South Fourth Street~548 S 4th St, Columbus, OH 43206, USA~2020-11~NE~39.951288,-82.994498~id-82.jpg"
"Berger Alley "," South Fourth Street","548 S 4th St, Columbus, OH 43206, USA","2020","11","NW","39.951288,-82.994498","82","Berger Alley & South Fourth Street~548 S 4th St, Columbus, OH 43206, USA~2020-11~NW~39.951288,-82.994498~id-82.jpg"
"Berger Alley "," South Fourth Street","551 S 4th St, Columbus, OH 43206, USA","2020","11","SW","39.951288,-82.994498","82","Berger Alley & South Fourth Street~551 S 4th St, Columbus, OH 43206, USA~2020-11~SW~39.951288,-82.994498~id-82.jpg"
"Berger Alley "," South Fourth Street","556 S 4th St, Columbus, OH 43206, USA","2020","11","SE","39.951288,-82.994498","82","Berger Alley & South Fourth Street~556 S 4th St, Columbus, OH 43206, USA~2020-11~SE~39.951288,-82.994498~id-82.jpg"
"Berger Alley "," South Grant Avenue","587 S Grant Ave, Columbus, OH 43206, USA","2024","06","NW","39.951033,-82.989122","84","Berger Alley & South Grant Avenue~587 S Grant Ave, Columbus, OH 43206, USA~2024-06~NW~39.951033,-82.989122~id-84.jpg"
"Berger Alley "," South Grant Avenue","590-592 S Grant Ave, Columbus, OH 43206, USA","2019","11","NE","39.951017,-82.989039","84","Berger Alley & South Grant Avenue~590-592 S Grant Ave, Columbus, OH 43206, USA~2019-11~NE~39.951017,-82.989039~id-84.jpg"
"Berger Alley "," South Grant Avenue","593 S Grant Ave, Columbus, OH 43206, USA","2024","06","SW","39.951033,-82.989122","84","Berger Alley & South Grant Avenue~593 S Grant Ave, Columbus, OH 43206, USA~2024-06~SW~39.951033,-82.989122~id-84.jpg"
"Berger Alley "," South Grant Avenue","598 S Grant Ave, Columbus, OH 43206, USA","2019","11","SE","39.951017,-82.989039","84","Berger Alley & South Grant Avenue~598 S Grant Ave, Columbus, OH 43206, USA~2019-11~SE~39.951017,-82.989039~id-84.jpg"
"Berger Alley "," South Sixth Street","573 S 6th St, Columbus, OH 43206, USA","2019","11","N","39.951101,-82.990985","80","Berger Alley & South Sixth Street~573 S 6th St, Columbus, OH 43206, USA~2019-11~N~39.951101,-82.990985~id-80.jpg"
"Berger Alley "," South Sixth Street","578 S 6th St, Columbus, OH 43206, USA","2019","11","NE","39.951094,-82.990862","80","Berger Alley & South Sixth Street~578 S 6th St, Columbus, OH 43206, USA~2019-11~NE~39.951094,-82.990862~id-80.jpg"
"Berger Alley "," South Sixth Street","581 S 6th St, Columbus, OH 43206, USA","2019","11","S","39.951101,-82.990985","80","Berger Alley & South Sixth Street~581 S 6th St, Columbus, OH 43206, USA~2019-11~S~39.951101,-82.990985~id-80.jpg"
