"intersection1","intersection2","Address","Year","Month","Direction","Coordinates","Intersection ID","Filename"
"East Beck Street "," South Grant Avenue","616 S Grant Ave, Columbus, OH 43206, USA","2019","10","NE","39.950527,-82.989130","94","East Beck Street & South Grant Avenue~616 S Grant Ave, Columbus, OH 43206, USA~2019-10~NE~39.950527,-82.989130~id-94.jpg"
"East Beck Street "," South Grant Avenue","616 S Grant Ave, Columbus, OH 43206, USA","2019","10","NW","39.950527,-82.989130","94","East Beck Street & South Grant Avenue~616 S Grant Ave, Columbus, OH 43206, USA~2019-10~NW~39.950527,-82.989130~id-94.jpg"
"East Beck Street "," South Sixth Street","265 E Beck St, Columbus, OH 43206, USA","2019","11","W","39.950546,-82.990937","101","East Beck Street & South Sixth Street~265 E Beck St, Columbus, OH 43206, USA~2019-11~W~39.950546,-82.990937~id-101.jpg"
"East Beck Street "," South Sixth Street","279 E Beck St, Columbus, OH 43206, USA","2019","11","E","39.950546,-82.990937","101","East Beck Street & South Sixth Street~279 E Beck St, Columbus, OH 43206, USA~2019-11~E~39.950546,-82.990937~id-101.jpg"
"East Beck Street "," South Sixth Street","595 S 6th St, Columbus, OH 43206, USA","2019","11","W","39.950691,-82.990955","101","East Beck Street & South Sixth Street~595 S 6th St, Columbus, OH 43206, USA~2019-11~W~39.950691,-82.990955~id-101.jpg"
"East Beck Street "," South Sixth Street","596 S 6th St, Columbus, OH 43206, USA","2019","11","E","39.950691,-82.990955","101","East Beck Street & South Sixth Street~596 S 6th St, Columbus, OH 43206, USA~2019-11~E~39.950691,-82.990955~id-101.jpg"
"East Beck Street "," South Third Street","564 S 3rd St, Columbus, OH 43215, USA","2024","06","NE","39.950807,-82.995658","95","East Beck Street & South Third Street~564 S 3rd St, Columbus, OH 43215, USA~2024-06~NE~39.950807,-82.995658~id-95.jpg"
"East Beck Street "," South Third Street","571 S 3rd St, Columbus, OH 43215, USA","2020","11","NW","39.950789,-82.995746","95","East Beck Street & South Third Street~571 S 3rd St, Columbus, OH 43215, USA~2020-11~NW~39.950789,-82.995746~id-95.jpg"
"East Beck Street "," South Third Street","571 S 3rd St, Columbus, OH 43215, USA","2020","11","SW","39.950758,-82.995734","95","East Beck Street & South Third Street~571 S 3rd St, Columbus, OH 43215, USA~2020-11~SW~39.950758,-82.995734~id-95.jpg"
"East Beck Street "," South Third Street","576 S 3rd St, Columbus, OH 43215, USA","2024","06","SE","39.950807,-82.995658","95","East Beck Street & South Third Street~576 S 3rd St, Columbus, OH 43215, USA~2024-06~SE~39.950807,-82.995658~id-95.jpg"
"East Beck Street "," Unknown","288 E Beck St, Columbus, OH 43206, USA","2024","06","NW","39.950606,-82.990318","103","East Beck Street & Unknown~288 E Beck St, Columbus, OH 43206, USA~2024-06~NW~39.950606,-82.990318~id-103.jpg"
"East Beck Street "," Unknown","298 E Beck St, Columbus, OH 43206, USA","2024","06","NE","39.950606,-82.990318","103","East Beck Street & Unknown~298 E Beck St, Columbus, OH 43206, USA~2024-06~NE~39.950606,-82.990318~id-103.jpg"
"East Beck Street "," Unknown","560 City Park Ave, Columbus, OH 43215, USA","2020","11","NW","39.950713,-82.996373","323","East Beck Street & Unknown~560 City Park Ave, Columbus, OH 43215, USA~2020-11~NW~39.950713,-82.996373~id-323.jpg"
"East Beck Street "," Unknown","560 City Park Ave, Columbus, OH 43215, USA","2020","11","NW","39.950737,-82.996142","325","East Beck Street & Unknown~560 City Park Ave, Columbus, OH 43215, USA~2020-11~NW~39.950737,-82.996142~id-325.jpg"
"East Blenkner Street "," Lathrop Street","551 Lathrop St, Columbus, OH 43206, USA","2019","11","NE","39.951896,-82.987268","316","East Blenkner Street & Lathrop Street~551 Lathrop St, Columbus, OH 43206, USA~2019-11~NE~39.951896,-82.987268~id-316.jpg"
"East Blenkner Street "," Lathrop Street","568 Lathrop St, Columbus, OH 43206, USA","2019","11","SE","39.951896,-82.987268","316","East Blenkner Street & Lathrop Street~568 Lathrop St, Columbus, OH 43206, USA~2019-11~SE~39.951896,-82.987268~id-316.jpg"
"East Blenkner Street "," South Third Street","503 1_2 S 3rd St, Columbus, OH 43215, USA","2022","09","W","39.952029,-82.995975","294","East Blenkner Street & South Third Street~503 1_2 S 3rd St, Columbus, OH 43215, USA~2022-09~W~39.952029,-82.995975~id-294.jpg"
"East Blenkner Street "," South Third Street","510 S 3rd St, Columbus, OH 43215, USA","2020","11","NE","39.951994,-82.995903","294","East Blenkner Street & South Third Street~510 S 3rd St, Columbus, OH 43215, USA~2020-11~NE~39.951994,-82.995903~id-294.jpg"
"East Blenkner Street "," South Third Street","510 S 3rd St, Columbus, OH 43215, USA","2020","11","SE","39.951994,-82.995903","294","East Blenkner Street & South Third Street~510 S 3rd St, Columbus, OH 43215, USA~2020-11~SE~39.951994,-82.995903~id-294.jpg"
"East Blenkner Street "," South Third Street","515 1_2 S 3rd St, Columbus, OH 43215, USA","2022","09","SW","39.952029,-82.995975","294","East Blenkner Street & South Third Street~515 1_2 S 3rd St, Columbus, OH 43215, USA~2022-09~SW~39.952029,-82.995975~id-294.jpg"
"East Blenkner Street "," Unknown","249 Dixon Alley, Columbus, OH 43206, USA","2024","06","NE","39.952098,-82.992004","319","East Blenkner Street & Unknown~249 Dixon Alley, Columbus, OH 43206, USA~2024-06~NE~39.952098,-82.992004~id-319.jpg"
"East Blenkner Street "," Unknown","28 E Blenkner St, Columbus, OH 43215, USA","2022","09","NE","39.951801,-82.997571","326","East Blenkner Street & Unknown~28 E Blenkner St, Columbus, OH 43215, USA~2022-09~NE~39.951801,-82.997571~id-326.jpg"
"East Blenkner Street "," Unknown","28 E Blenkner St, Columbus, OH 43215, USA","2022","09","NW","39.951801,-82.997571","326","East Blenkner Street & Unknown~28 E Blenkner St, Columbus, OH 43215, USA~2022-09~NW~39.951801,-82.997571~id-326.jpg"
"East Blenkner Street "," Unknown","309 E Blenkner St, Columbus, OH 43206, USA","2019","11","S","39.952014,-82.990204","320","East Blenkner Street & Unknown~309 E Blenkner St, Columbus, OH 43206, USA~2019-11~S~39.952014,-82.990204~id-320.jpg"
"East Blenkner Street "," Unknown","312 E Blenkner St, Columbus, OH 43206, USA","2019","11","SW","39.952014,-82.990204","320","East Blenkner Street & Unknown~312 E Blenkner St, Columbus, OH 43206, USA~2019-11~SW~39.952014,-82.990204~id-320.jpg"
"East Blenkner Street "," Unknown","327 E Livingston Ave, Columbus, OH 43215, USA","2019","11","NW","39.951980,-82.989492","318","East Blenkner Street & Unknown~327 E Livingston Ave, Columbus, OH 43215, USA~2019-11~NW~39.951980,-82.989492~id-318.jpg"
"East Blenkner Street "," Unknown","46 E Blenkner St, Columbus, OH 43215, USA","2022","09","NW","39.951822,-82.997354","327","East Blenkner Street & Unknown~46 E Blenkner St, Columbus, OH 43215, USA~2022-09~NW~39.951822,-82.997354~id-327.jpg"
"East Blenkner Street "," Unknown","46 E Blenkner St, Columbus, OH 43215, USA","2022","09","N","39.951822,-82.997354","327","East Blenkner Street & Unknown~46 E Blenkner St, Columbus, OH 43215, USA~2022-09~N~39.951822,-82.997354~id-327.jpg"
"East Blenkner Street "," Unknown","502 City Park Ave, Columbus, OH 43215, USA","2020","11","NW","39.951915,-82.996597","328","East Blenkner Street & Unknown~502 City Park Ave, Columbus, OH 43215, USA~2020-11~NW~39.951915,-82.996597~id-328.jpg"
"East Blenkner Street "," Unknown","520 S 5th St, Columbus, OH 43206, USA","2024","06","NW","39.952098,-82.992004","319","East Blenkner Street & Unknown~520 S 5th St, Columbus, OH 43206, USA~2024-06~NW~39.952098,-82.992004~id-319.jpg"
"East Blenkner Street "," Unknown","545 E Blenkner St, Columbus, OH 43206, USA","2019","11","NE","39.951980,-82.989492","318","East Blenkner Street & Unknown~545 E Blenkner St, Columbus, OH 43206, USA~2019-11~NE~39.951980,-82.989492~id-318.jpg"
"East Blenkner Street "," Unknown","74 E Blenkner St, Columbus, OH 43215, USA","2020","11","NE","39.951915,-82.996597","328","East Blenkner Street & Unknown~74 E Blenkner St, Columbus, OH 43215, USA~2020-11~NE~39.951915,-82.996597~id-328.jpg"
"East Columbus Street "," Ebner Street","791 Ebner St, Columbus, OH 43206, USA","2024","06","NW","39.946825,-82.988383","211","East Columbus Street & Ebner Street~791 Ebner St, Columbus, OH 43206, USA~2024-06~NW~39.946825,-82.988383~id-211.jpg"
"East Columbus Street "," Ebner Street","791 Ebner St, Columbus, OH 43206, USA","2024","06","SW","39.946825,-82.988383","211","East Columbus Street & Ebner Street~791 Ebner St, Columbus, OH 43206, USA~2024-06~SW~39.946825,-82.988383~id-211.jpg"
"East Columbus Street "," Ebner Street","796 Ebner St, Columbus, OH 43206, USA","2024","06","NE","39.946825,-82.988383","211","East Columbus Street & Ebner Street~796 Ebner St, Columbus, OH 43206, USA~2024-06~NE~39.946825,-82.988383~id-211.jpg"
"East Columbus Street "," Ebner Street","802 Ebner St, Columbus, OH 43206, USA","2024","06","E","39.946825,-82.988383","211","East Columbus Street & Ebner Street~802 Ebner St, Columbus, OH 43206, USA~2024-06~E~39.946825,-82.988383~id-211.jpg"
"East Columbus Street "," Purdy Alley","227 E Columbus St, Columbus, OH 43206, USA","2024","06","SW","39.946994,-82.991261","215","East Columbus Street & Purdy Alley~227 E Columbus St, Columbus, OH 43206, USA~2024-06~SW~39.946994,-82.991261~id-215.jpg"
"East Columbus Street "," Purdy Alley","234 E Columbus St, Columbus, OH 43206, USA","2024","06","NE","39.946994,-82.991261","215","East Columbus Street & Purdy Alley~234 E Columbus St, Columbus, OH 43206, USA~2024-06~NE~39.946994,-82.991261~id-215.jpg"
"East Columbus Street "," Purdy Alley","234 E Columbus St, Columbus, OH 43206, USA","2024","06","NW","39.946994,-82.991261","215","East Columbus Street & Purdy Alley~234 E Columbus St, Columbus, OH 43206, USA~2024-06~NW~39.946994,-82.991261~id-215.jpg"
"East Columbus Street "," Purdy Alley","235 E Columbus St, Columbus, OH 43206, USA","2024","06","SE","39.946994,-82.991261","215","East Columbus Street & Purdy Alley~235 E Columbus St, Columbus, OH 43206, USA~2024-06~SE~39.946994,-82.991261~id-215.jpg"
"East Columbus Street "," South Grant Avenue","311 E Columbus St, Columbus, OH 43206, USA","2019","11","SW","39.946930,-82.988925","213","East Columbus Street & South Grant Avenue~311 E Columbus St, Columbus, OH 43206, USA~2019-11~SW~39.946930,-82.988925~id-213.jpg"
"East Columbus Street "," South Grant Avenue","311 E Columbus St, Columbus, OH 43206, USA","2019","11","S","39.946930,-82.988925","213","East Columbus Street & South Grant Avenue~311 E Columbus St, Columbus, OH 43206, USA~2019-11~S~39.946930,-82.988925~id-213.jpg"
"East Columbus Street "," South Grant Avenue","314 E Columbus St, Columbus, OH 43206, USA","2019","11","W","39.946930,-82.988925","213","East Columbus Street & South Grant Avenue~314 E Columbus St, Columbus, OH 43206, USA~2019-11~W~39.946930,-82.988925~id-213.jpg"
"East Columbus Street "," South Grant Avenue","320 E Columbus St, Columbus, OH 43206, USA","2019","11","E","39.946930,-82.988925","213","East Columbus Street & South Grant Avenue~320 E Columbus St, Columbus, OH 43206, USA~2019-11~E~39.946930,-82.988925~id-213.jpg"
"East Columbus Street "," South Lazelle Street","119 E Columbus St, Columbus, OH 43206, USA","2020","11","SW","39.946704,-82.994029","209","East Columbus Street & South Lazelle Street~119 E Columbus St, Columbus, OH 43206, USA~2020-11~SW~39.946704,-82.994029~id-209.jpg"
"East Columbus Street "," South Lazelle Street","766 S Lazelle St, Columbus, OH 43206, USA","2020","11","NE","39.946704,-82.994029","209","East Columbus Street & South Lazelle Street~766 S Lazelle St, Columbus, OH 43206, USA~2020-11~NE~39.946704,-82.994029~id-209.jpg"
"East Columbus Street "," South Lazelle Street","766 S Lazelle St, Columbus, OH 43206, USA","2020","11","NW","39.946704,-82.994029","209","East Columbus Street & South Lazelle Street~766 S Lazelle St, Columbus, OH 43206, USA~2020-11~NW~39.946704,-82.994029~id-209.jpg"
"East Columbus Street "," South Lazelle Street","766 S Lazelle St, Columbus, OH 43206, USA","2020","11","SE","39.946704,-82.994029","209","East Columbus Street & South Lazelle Street~766 S Lazelle St, Columbus, OH 43206, USA~2020-11~SE~39.946704,-82.994029~id-209.jpg"
"East Columbus Street "," South Pearl Street","35 E Columbus St, Columbus, OH 43206, USA","2020","11","NE","39.946388,-82.996652","210","East Columbus Street & South Pearl Street~35 E Columbus St, Columbus, OH 43206, USA~2020-11~NE~39.946388,-82.996652~id-210.jpg"
"East Columbus Street "," South Pearl Street","35 E Columbus St, Columbus, OH 43206, USA","2020","11","NW","39.946388,-82.996652","210","East Columbus Street & South Pearl Street~35 E Columbus St, Columbus, OH 43206, USA~2020-11~NW~39.946388,-82.996652~id-210.jpg"
"East Columbus Street "," South Pearl Street","35 E Columbus St, Columbus, OH 43206, USA","2020","11","SE","39.946388,-82.996652","210","East Columbus Street & South Pearl Street~35 E Columbus St, Columbus, OH 43206, USA~2020-11~SE~39.946388,-82.996652~id-210.jpg"
"East Columbus Street "," South Pearl Street","35 E Columbus St, Columbus, OH 43206, USA","2020","11","SW","39.946388,-82.996652","210","East Columbus Street & South Pearl Street~35 E Columbus St, Columbus, OH 43206, USA~2020-11~SW~39.946388,-82.996652~id-210.jpg"
"East Columbus Street "," South Sixth Street","775 S 6th St, Columbus, OH 43206, USA","2021","09","NW","39.946921,-82.990646","208","East Columbus Street & South Sixth Street~775 S 6th St, Columbus, OH 43206, USA~2021-09~NW~39.946921,-82.990646~id-208.jpg"
"East Columbus Street "," South Sixth Street","778 S 6th St, Columbus, OH 43206, USA","2021","09","E","39.946921,-82.990646","208","East Columbus Street & South Sixth Street~778 S 6th St, Columbus, OH 43206, USA~2021-09~E~39.946921,-82.990646~id-208.jpg"
"East Columbus Street "," South Sixth Street","778 S 6th St, Columbus, OH 43206, USA","2021","09","NE","39.946921,-82.990646","208","East Columbus Street & South Sixth Street~778 S 6th St, Columbus, OH 43206, USA~2021-09~NE~39.946921,-82.990646~id-208.jpg"
"East Columbus Street "," South Sixth Street","783 S 6th St, Columbus, OH 43206, USA","2021","09","W","39.946921,-82.990646","208","East Columbus Street & South Sixth Street~783 S 6th St, Columbus, OH 43206, USA~2021-09~W~39.946921,-82.990646~id-208.jpg"
"East Columbus Street "," South Third Street","101 E Columbus St, Columbus, OH 43206, USA","2020","11","SE","39.946601,-82.994885","212","East Columbus Street & South Third Street~101 E Columbus St, Columbus, OH 43206, USA~2020-11~SE~39.946601,-82.994885~id-212.jpg"
"East Columbus Street "," South Third Street","770 S 3rd St, Columbus, OH 43206, USA","2020","11","NE","39.946601,-82.994885","212","East Columbus Street & South Third Street~770 S 3rd St, Columbus, OH 43206, USA~2020-11~NE~39.946601,-82.994885~id-212.jpg"
"East Columbus Street "," South Third Street","771 S 3rd St, Columbus, OH 43206, USA","2020","11","W","39.946601,-82.994885","212","East Columbus Street & South Third Street~771 S 3rd St, Columbus, OH 43206, USA~2020-11~W~39.946601,-82.994885~id-212.jpg"
"East Columbus Street "," South Third Street","777 S 3rd St, Columbus, OH 43206, USA","2020","11","SW","39.946601,-82.994885","212","East Columbus Street & South Third Street~777 S 3rd St, Columbus, OH 43206, USA~2020-11~SW~39.946601,-82.994885~id-212.jpg"
"East Columbus Street "," Unknown","280 E Columbus St, Columbus, OH 43206, USA","2019","11","NW","39.946940,-82.990017","214","East Columbus Street & Unknown~280 E Columbus St, Columbus, OH 43206, USA~2019-11~NW~39.946940,-82.990017~id-214.jpg"
"East Columbus Street "," Unknown","280 E Columbus St, Columbus, OH 43206, USA","2019","11","N","39.946940,-82.990017","214","East Columbus Street & Unknown~280 E Columbus St, Columbus, OH 43206, USA~2019-11~N~39.946940,-82.990017~id-214.jpg"
"East Columbus Street "," Unknown","769 Jaeger St, Columbus, OH 43206, USA","2019","11","SW","39.946940,-82.990017","214","East Columbus Street & Unknown~769 Jaeger St, Columbus, OH 43206, USA~2019-11~SW~39.946940,-82.990017~id-214.jpg"
"East Columbus Street "," Unknown","769 Jaeger St, Columbus, OH 43206, USA","2019","11","S","39.946940,-82.990017","214","East Columbus Street & Unknown~769 Jaeger St, Columbus, OH 43206, USA~2019-11~S~39.946940,-82.990017~id-214.jpg"
"East Deshler Avenue "," South Fourth Street","133 E Deshler Ave, Columbus, OH 43206, USA","2022","10","SW","39.940868,-82.992557","292","East Deshler Avenue & South Fourth Street~133 E Deshler Ave, Columbus, OH 43206, USA~2022-10~SW~39.940868,-82.992557~id-292.jpg"
"East Deshler Avenue "," South Fourth Street","147 E Deshler Ave, Columbus, OH 43206, USA","2024","09","S","39.940927,-82.992480","292","East Deshler Avenue & South Fourth Street~147 E Deshler Ave, Columbus, OH 43206, USA~2024-09~S~39.940927,-82.992480~id-292.jpg"
"East Deshler Avenue "," South Pearl Street","1028 S Pearl St, Columbus, OH 43206, USA","2020","11","E","39.941101,-82.995715","293","East Deshler Avenue & South Pearl Street~1028 S Pearl St, Columbus, OH 43206, USA~2020-11~E~39.941101,-82.995715~id-293.jpg"
"East Deshler Avenue "," South Pearl Street","23 E Deshler Ave, Columbus, OH 43206, USA","2019","09","NW","39.941007,-82.995634","293","East Deshler Avenue & South Pearl Street~23 E Deshler Ave, Columbus, OH 43206, USA~2019-09~NW~39.941007,-82.995634~id-293.jpg"
"East Deshler Avenue "," South Pearl Street","23 E Deshler Ave, Columbus, OH 43206, USA","2019","09","SW","39.941007,-82.995634","293","East Deshler Avenue & South Pearl Street~23 E Deshler Ave, Columbus, OH 43206, USA~2019-09~SW~39.941007,-82.995634~id-293.jpg"
"East Deshler Avenue "," South Pearl Street","33 E Deshler Ave, Columbus, OH 43206, USA","2019","09","SE","39.941007,-82.995634","293","East Deshler Avenue & South Pearl Street~33 E Deshler Ave, Columbus, OH 43206, USA~2019-09~SE~39.941007,-82.995634~id-293.jpg"
"East Deshler Avenue "," Unknown","207 E Deshler Ave, Columbus, OH 43206, USA","2019","11","N","39.940747,-82.990701","291","East Deshler Avenue & Unknown~207 E Deshler Ave, Columbus, OH 43206, USA~2019-11~N~39.940747,-82.990701~id-291.jpg"
"East Frankfort Street "," Ebner Street","335 E Frankfort St, Columbus, OH 43206, USA","2011","06","N","39.947431,-82.988258","286","East Frankfort Street & Ebner Street~335 E Frankfort St, Columbus, OH 43206, USA~2011-06~N~39.947431,-82.988258~id-286.jpg"
"East Frankfort Street "," Ebner Street","749 Ebner St, Columbus, OH 43206, USA","2011","06","N","39.947443,-82.988435","286","East Frankfort Street & Ebner Street~749 Ebner St, Columbus, OH 43206, USA~2011-06~N~39.947443,-82.988435~id-286.jpg"
"East Frankfort Street "," Ebner Street","773 Ebner St, Columbus, OH 43206, USA","2011","06","S","39.947443,-82.988435","286","East Frankfort Street & Ebner Street~773 Ebner St, Columbus, OH 43206, USA~2011-06~S~39.947443,-82.988435~id-286.jpg"
"East Frankfort Street "," Ebner Street","774 Ebner St, Columbus, OH 43206, USA","2011","06","S","39.947431,-82.988258","286","East Frankfort Street & Ebner Street~774 Ebner St, Columbus, OH 43206, USA~2011-06~S~39.947431,-82.988258~id-286.jpg"
"East Frankfort Street "," Purdy Alley","249 E Frankfort St, Columbus, OH 43206, USA","2019","11","SE","39.947575,-82.991388","181","East Frankfort Street & Purdy Alley~249 E Frankfort St, Columbus, OH 43206, USA~2019-11~SE~39.947575,-82.991388~id-181.jpg"
"East Frankfort Street "," Purdy Alley","249 E Frankfort St, Columbus, OH 43206, USA","2019","11","SW","39.947575,-82.991388","181","East Frankfort Street & Purdy Alley~249 E Frankfort St, Columbus, OH 43206, USA~2019-11~SW~39.947575,-82.991388~id-181.jpg"
"East Frankfort Street "," Purdy Alley","25 Purdy Alley, Columbus, OH 43206, USA","2024","06","NW","39.947586,-82.991198","180","East Frankfort Street & Purdy Alley~25 Purdy Alley, Columbus, OH 43206, USA~2024-06~NW~39.947586,-82.991198~id-180.jpg"
"East Frankfort Street "," Purdy Alley","730 Purdy Alley, Columbus, OH 43206, USA","2024","06","NE","39.947586,-82.991198","180","East Frankfort Street & Purdy Alley~730 Purdy Alley, Columbus, OH 43206, USA~2024-06~NE~39.947586,-82.991198~id-180.jpg"
"East Frankfort Street "," South Grant Avenue","319 E Frankfort St, Columbus, OH 43206, USA","2011","06","SE","39.947466,-82.988910","287","East Frankfort Street & South Grant Avenue~319 E Frankfort St, Columbus, OH 43206, USA~2011-06~SE~39.947466,-82.988910~id-287.jpg"
"East Frankfort Street "," South Grant Avenue","319 E Frankfort St, Columbus, OH 43206, USA","2011","06","SW","39.947466,-82.988910","287","East Frankfort Street & South Grant Avenue~319 E Frankfort St, Columbus, OH 43206, USA~2011-06~SW~39.947466,-82.988910~id-287.jpg"
"East Frankfort Street "," South Third Street","730 S 3rd St, Columbus, OH 43206, USA","2022","09","NE","39.947395,-82.995039","285","East Frankfort Street & South Third Street~730 S 3rd St, Columbus, OH 43206, USA~2022-09~NE~39.947395,-82.995039~id-285.jpg"
"East Frankfort Street "," South Third Street","730 S 3rd St, Columbus, OH 43206, USA","2022","09","NW","39.947395,-82.995039","285","East Frankfort Street & South Third Street~730 S 3rd St, Columbus, OH 43206, USA~2022-09~NW~39.947395,-82.995039~id-285.jpg"
"East Frankfort Street "," South Third Street","744 1_2 S 3rd St, Columbus, OH 43206, USA","2022","09","SE","39.947395,-82.995039","285","East Frankfort Street & South Third Street~744 1_2 S 3rd St, Columbus, OH 43206, USA~2022-09~SE~39.947395,-82.995039~id-285.jpg"
"East Frankfort Street "," South Third Street","744 1_2 S 3rd St, Columbus, OH 43206, USA","2022","09","SW","39.947395,-82.995039","285","East Frankfort Street & South Third Street~744 1_2 S 3rd St, Columbus, OH 43206, USA~2022-09~SW~39.947395,-82.995039~id-285.jpg"
"East Hoster Street "," City Park Avenue","533 City Park Ave, Columbus, OH 43215, USA","2022","10","NE","39.951298,-82.996758","46","East Hoster Street & City Park Avenue~533 City Park Ave, Columbus, OH 43215, USA~2022-10~NE~39.951298,-82.996758~id-46.jpg"
"East Hoster Street "," City Park Avenue","533 City Park Ave, Columbus, OH 43215, USA","2022","10","NW","39.951298,-82.996758","46","East Hoster Street & City Park Avenue~533 City Park Ave, Columbus, OH 43215, USA~2022-10~NW~39.951298,-82.996758~id-46.jpg"
"East Hoster Street "," City Park Avenue","541 City Park Ave, Columbus, OH 43215, USA","2022","10","SW","39.951298,-82.996758","46","East Hoster Street & City Park Avenue~541 City Park Ave, Columbus, OH 43215, USA~2022-10~SW~39.951298,-82.996758~id-46.jpg"
"East Hoster Street "," City Park Avenue","544 City Park Ave, Columbus, OH 43215, USA","2022","10","SE","39.951298,-82.996758","46","East Hoster Street & City Park Avenue~544 City Park Ave, Columbus, OH 43215, USA~2022-10~SE~39.951298,-82.996758~id-46.jpg"
"East Hoster Street "," East Hoster Street","533 S 3rd St, Columbus, OH 43215, USA","2020","11","NW","39.951388,-82.995854","1","East Hoster Street & East Hoster Street~533 S 3rd St, Columbus, OH 43215, USA~2020-11~NW~39.951388,-82.995854~id-1.jpg"
"East Hoster Street "," East Hoster Street","536 S 3rd St, Columbus, OH 43215, USA","2020","11","NE","39.951393,-82.995791","1","East Hoster Street & East Hoster Street~536 S 3rd St, Columbus, OH 43215, USA~2020-11~NE~39.951393,-82.995791~id-1.jpg"
"East Hoster Street "," East Hoster Street","536 S 3rd St, Columbus, OH 43215, USA","2020","11","SE","39.951393,-82.995791","1","East Hoster Street & East Hoster Street~536 S 3rd St, Columbus, OH 43215, USA~2020-11~SE~39.951393,-82.995791~id-1.jpg"
"East Hoster Street "," East Hoster Street","541 S 3rd St, Columbus, OH 43215, USA","2020","11","SW","39.951388,-82.995854","1","East Hoster Street & East Hoster Street~541 S 3rd St, Columbus, OH 43215, USA~2020-11~SW~39.951388,-82.995854~id-1.jpg"
"East Hoster Street "," South Lazelle Street","533 E Hoster St, Columbus, OH 43206, USA","2024","06","NW","39.951513,-82.994976","0","East Hoster Street & South Lazelle Street~533 E Hoster St, Columbus, OH 43206, USA~2024-06~NW~39.951513,-82.994976~id-0.jpg"
"East Hoster Street "," South Lazelle Street","541 S Lazelle St, Columbus, OH 43206, USA","2024","06","SW","39.951513,-82.994976","0","East Hoster Street & South Lazelle Street~541 S Lazelle St, Columbus, OH 43206, USA~2024-06~SW~39.951513,-82.994976~id-0.jpg"
"East Hoster Street "," South Pearl Street","31 E Hoster St, Columbus, OH 43215, USA","2022","10","NW","39.951190,-82.997647","47","East Hoster Street & South Pearl Street~31 E Hoster St, Columbus, OH 43215, USA~2022-10~NW~39.951190,-82.997647~id-47.jpg"
"East Hoster Street "," South Pearl Street","31 E Hoster St, Columbus, OH 43215, USA","2022","10","SE","39.951198,-82.997579","47","East Hoster Street & South Pearl Street~31 E Hoster St, Columbus, OH 43215, USA~2022-10~SE~39.951198,-82.997579~id-47.jpg"
"East Hoster Street "," South Pearl Street","31 E Hoster St, Columbus, OH 43215, USA","2022","10","SW","39.951198,-82.997579","47","East Hoster Street & South Pearl Street~31 E Hoster St, Columbus, OH 43215, USA~2022-10~SW~39.951198,-82.997579~id-47.jpg"
"East Hoster Street "," South Pearl Street","534 S Pearl St, Columbus, OH 43215, USA","2022","10","NE","39.951198,-82.997579","47","East Hoster Street & South Pearl Street~534 S Pearl St, Columbus, OH 43215, USA~2022-10~NE~39.951198,-82.997579~id-47.jpg"
"East Hoster Street "," Unknown","534-536 S 3rd St, Columbus, OH 43215, USA","2020","11","SE","39.951447,-82.995351","3","East Hoster Street & Unknown~534-536 S 3rd St, Columbus, OH 43215, USA~2020-11~SE~39.951447,-82.995351~id-3.jpg"
"East Hoster Street "," Unknown","534-536 S 3rd St, Columbus, OH 43215, USA","2020","11","SW","39.951447,-82.995351","3","East Hoster Street & Unknown~534-536 S 3rd St, Columbus, OH 43215, USA~2020-11~SW~39.951447,-82.995351~id-3.jpg"
"East Hoster Street "," Unknown","536 City Park Ave, Columbus, OH 43215, USA","2024","06","NW","39.951350,-82.996298","48","East Hoster Street & Unknown~536 City Park Ave, Columbus, OH 43215, USA~2024-06~NW~39.951350,-82.996298~id-48.jpg"
"East Hoster Street "," Unknown","538 S 3rd St, Columbus, OH 43215, USA","2020","11","SE","39.951427,-82.995569","2 (1)","East Hoster Street & Unknown~538 S 3rd St, Columbus, OH 43215, USA~2020-11~SE~39.951427,-82.995569~id-2 (1).jpg"
"East Hoster Street "," Unknown","538 S 3rd St, Columbus, OH 43215, USA","2020","11","SE","39.951427,-82.995569","2","East Hoster Street & Unknown~538 S 3rd St, Columbus, OH 43215, USA~2020-11~SE~39.951427,-82.995569~id-2.jpg"
"East Hoster Street "," Unknown","538 S 3rd St, Columbus, OH 43215, USA","2020","11","SE","39.951447,-82.995351","3","East Hoster Street & Unknown~538 S 3rd St, Columbus, OH 43215, USA~2020-11~SE~39.951447,-82.995351~id-3.jpg"
"East Hoster Street "," Unknown","71 E Hoster St, Columbus, OH 43215, USA","2024","06","S","39.951350,-82.996298","48","East Hoster Street & Unknown~71 E Hoster St, Columbus, OH 43215, USA~2024-06~S~39.951350,-82.996298~id-48.jpg"
"East Kossuth Street "," Ebner Street","323 E Kossuth St, Columbus, OH 43206, USA","2024","06","SW","39.945923,-82.988459","127","East Kossuth Street & Ebner Street~323 E Kossuth St, Columbus, OH 43206, USA~2024-06~SW~39.945923,-82.988459~id-127.jpg"
"East Kossuth Street "," Ebner Street","334 E Kossuth St, Columbus, OH 43206, USA","2024","06","NE","39.945923,-82.988459","127","East Kossuth Street & Ebner Street~334 E Kossuth St, Columbus, OH 43206, USA~2024-06~NE~39.945923,-82.988459~id-127.jpg"
"East Kossuth Street "," Ebner Street","337 E Kossuth St, Columbus, OH 43206, USA","2024","06","SE","39.945923,-82.988459","127","East Kossuth Street & Ebner Street~337 E Kossuth St, Columbus, OH 43206, USA~2024-06~SE~39.945923,-82.988459~id-127.jpg"
